id,date,close_price,last_price,volume,value
52097435655349133,20221226,211.0,211.0,0.0,0.0
52097435655349133,20230125,3014.0,3479.0,278.0,837838000.0
52097435655349133,20221228,211.0,211.0,0.0,0.0
52097435655349133,20221231,211.0,211.0,0.0,0.0
52097435655349133,20230101,211.0,211.0,0.0,0.0
52097435655349133,20230102,211.0,211.0,0.0,0.0
52097435655349133,20230103,211.0,211.0,0.0,0.0
52097435655349133,20230104,211.0,211.0,0.0,0.0
52097435655349133,20230107,211.0,211.0,0.0,0.0
52097435655349133,20230108,3500.0,3500.0,1500.0,5250000000.0
52097435655349133,20230109,3500.0,3500.0,0.0,0.0
52097435655349133,20230110,3500.0,3500.0,0.0,0.0
52097435655349133,20230111,3500.0,3500.0,0.0,0.0
52097435655349133,20230114,3500.0,3500.0,0.0,0.0
52097435655349133,20230115,3500.0,3500.0,0.0,0.0
52097435655349133,20230116,5413.0,5400.0,1795.0,9717000000.0
52097435655349133,20230117,5291.0,4325.0,202.0,1068751000.0
52097435655349133,20230118,5474.0,5474.0,40.0,218960000.0
52097435655349133,20230121,4800.0,4800.0,545.0,2616000000.0
52097435655349133,20230122,4077.0,4100.0,2002.0,8162108000.0
52097435655349133,20230123,5160.0,5209.0,595.0,3070290000.0
52097435655349133,20230124,3682.0,3480.0,2108.0,7762153000.0
29700767788386560,20230125,1.0,1.0,0.0,0.0
29700767788386560,20221228,1.0,1.0,0.0,0.0
29700767788386560,20221231,1.0,1.0,0.0,0.0
29700767788386560,20230101,1.0,1.0,0.0,0.0
29700767788386560,20230102,1.0,1.0,0.0,0.0
29700767788386560,20230103,1.0,1.0,0.0,0.0
29700767788386560,20230104,1.0,1.0,0.0,0.0
29700767788386560,20230107,1.0,1.0,0.0,0.0
29700767788386560,20230108,1.0,1.0,0.0,0.0
29700767788386560,20230109,1.0,1.0,0.0,0.0
29700767788386560,20230110,1.0,1.0,0.0,0.0
29700767788386560,20230111,1.0,1.0,0.0,0.0
29700767788386560,20230114,1.0,1.0,0.0,0.0
29700767788386560,20230115,1.0,1.0,0.0,0.0
29700767788386560,20230116,1.0,1.0,0.0,0.0
29700767788386560,20230117,1.0,1.0,0.0,0.0
29700767788386560,20230118,1.0,1.0,0.0,0.0
29700767788386560,20230121,1.0,1.0,0.0,0.0
29700767788386560,20230122,1.0,1.0,0.0,0.0
29700767788386560,20230123,1.0,1.0,0.0,0.0
